Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
match_score;smith_waterman.c;7;2.0644543170928955;0-6;Random bit-flip
match_score;smith_waterman.c;7;1.5739781856536865;0-6;Random bit-flip
match_score;smith_waterman.c;7;2.2020487785339355;0-6;Random bit-flip
gap_score;smith_waterman.c;9;1.210296630859375;0-6;Random bit-flip
match_score;smith_waterman.c;7;1.9376091957092285;0-6;Single bit-flip
gap_score;smith_waterman.c;9;1.1012606620788574;0-6;Single bit-flip
match_score;smith_waterman.c;7;2.621697187423706;0-6;Single bit-flip
gap_score;smith_waterman.c;9;1.2201836109161377;0-6;Single bit-flip
str_x;smith_waterman.c;79;2.1065638065338135;0-6;Double bit-flip
mismatch_score;smith_waterman.c;8;0.6656711101531982;0-6;Double bit-flip
gap_score;smith_waterman.c;9;3.849287986755371;0-6;Double bit-flip
mismatch_score;smith_waterman.c;8;3.4363012313842773;0-6;Double bit-flip
match_score;smith_waterman.c;7;3.0607848167419434;0-6;Double bit-flip
match_score;smith_waterman.c;7;2.8017635345458984;0-6;Double bit-flip
gap_score;smith_waterman.c;9;0.37427687644958496;0-6;Double bit-flip
