Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_skip_args;rtld.c;84;1.1037142276763916;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.39690494537353516;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.3433723449707031;0-2;Single bit-flip
i;smith_waterman.c;83;0.7509250640869141;0-2;Single bit-flip
fo;smith_waterman.c;79;1.258643627166748;0-2;Single bit-flip
fo;smith_waterman.c;278;1.4913744926452637;0-2;Single bit-flip
fo;smith_waterman.c;278;0.9079248905181885;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.8321301937103271;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.4159517288208008;0-2;Single bit-flip
j;smith_waterman.c;88;1.6918082237243652;0-2;Single bit-flip
str_x;smith_waterman.c;285;1.8132822513580322;0-2;Single bit-flip
i;smith_waterman.c;83;1.3341233730316162;0-2;Single bit-flip
str_y;smith_waterman.c;286;1.2914280891418457;0-2;Single bit-flip
fo;smith_waterman.c;278;1.2071499824523926;0-2;Single bit-flip
str_y;smith_waterman.c;286;0.7164292335510254;0-2;Single bit-flip
str_y;smith_waterman.c;286;1.1422419548034668;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.371065616607666;0-2;Single bit-flip
fo;smith_waterman.c;79;0.9198229312896729;0-2;Single bit-flip
str_y;smith_waterman.c;79;0.9517180919647217;0-2;Single bit-flip
fo;smith_waterman.c;278;1.5777382850646973;0-2;Single bit-flip
fo;smith_waterman.c;278;1.2277052402496338;0-2;Single bit-flip
str_x;smith_waterman.c;79;0.6695337295532227;0-2;Single bit-flip
i;smith_waterman.c;83;1.183556318283081;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5079262256622314;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.582343578338623;0-2;Single bit-flip
str_y;smith_waterman.c;286;0.9172110557556152;0-2;Single bit-flip
y_num;smith_waterman.c;79;2.0423710346221924;0-2;Single bit-flip
_rtld_global;rtld.c;231;0.763636589050293;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.9110102653503418;0-2;Single bit-flip
str_x;smith_waterman.c;285;0.6933333873748779;0-2;Single bit-flip
str_y;smith_waterman.c;286;0.5242807865142822;0-2;Single bit-flip
str_y;smith_waterman.c;286;0.2205498218536377;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.7601878643035889;0-2;Single bit-flip
fo;smith_waterman.c;79;0.31360459327697754;0-2;Single bit-flip
str_y;smith_waterman.c;79;0.9637126922607422;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;0.90035080909729;0-2;Single bit-flip
j;smith_waterman.c;88;1.6967833042144775;0-2;Single bit-flip
fo;smith_waterman.c;278;1.7075388431549072;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.96533203125;0-2;Single bit-flip
i;smith_waterman.c;83;1.3801929950714111;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5667405128479004;0-2;Single bit-flip
matrix;smith_waterman.c;81;0.9875853061676025;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.8353829383850098;0-2;Single bit-flip
fo;smith_waterman.c;79;0.6083221435546875;0-2;Single bit-flip
str_y;smith_waterman.c;79;1.4039125442504883;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.068131446838379;0-2;Single bit-flip
str_x;smith_waterman.c;285;1.279839277267456;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;0.4498457908630371;0-2;Single bit-flip
str_y;smith_waterman.c;286;1.4017140865325928;0-2;Single bit-flip
str_x;smith_waterman.c;79;0.5835328102111816;0-2;Single bit-flip
j;smith_waterman.c;88;0.7110440731048584;0-2;Single bit-flip
matrix;smith_waterman.c;81;1.4690072536468506;0-2;Single bit-flip
str_y;smith_waterman.c;79;1.2080907821655273;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.8735077381134033;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.800128698348999;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.7154572010040283;0-2;Single bit-flip
fo;smith_waterman.c;79;1.3091988563537598;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.39520812034606934;0-2;Single bit-flip
matrix;smith_waterman.c;81;0.587876558303833;0-2;Single bit-flip
fo;smith_waterman.c;278;0.42365407943725586;0-6;Single bit-flip
str_y;smith_waterman.c;286;0.32825374603271484;0-6;Single bit-flip
fpy;smith_waterman.c;278;1.4159412384033203;0-6;Single bit-flip
str_x;smith_waterman.c;79;2.3941562175750732;0-6;Single bit-flip
str_x;smith_waterman.c;79;1.1864197254180908;0-6;Single bit-flip
fpy;smith_waterman.c;278;1.3104453086853027;0-6;Single bit-flip
fo;smith_waterman.c;278;0.7315013408660889;0-6;Single bit-flip
i;smith_waterman.c;83;1.5830693244934082;0-6;Single bit-flip
j;smith_waterman.c;88;1.56009840965271;0-6;Single bit-flip
y_num;smith_waterman.c;79;1.8862495422363281;0-6;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7377479076385498;0-6;Single bit-flip
y_num;smith_waterman.c;79;1.204054594039917;0-6;Single bit-flip
str_y;smith_waterman.c;286;2.27559757232666;0-6;Single bit-flip
x_num;smith_waterman.c;79;0.8430178165435791;0-2;Single bit-flip
fo;smith_waterman.c;79;1.0939881801605225;0-6;Single bit-flip
i;smith_waterman.c;83;1.2631959915161133;0-6;Single bit-flip
j;smith_waterman.c;88;1.1565701961517334;0-6;Single bit-flip
i;smith_waterman.c;83;3.0154192447662354;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.7856535911560059;0-2;Single bit-flip
i;smith_waterman.c;83;2.0001065731048584;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.9919917583465576;0-6;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3666713237762451;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.7519469261169434;0-6;Single bit-flip
i;smith_waterman.c;83;2.6794521808624268;0-6;Single bit-flip
fo;smith_waterman.c;79;1.9039015769958496;0-6;Single bit-flip
fo;smith_waterman.c;278;0.6147263050079346;0-6;Single bit-flip
str_x;smith_waterman.c;79;0.6211435794830322;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.3444623947143555;0-2;Single bit-flip
fo;smith_waterman.c;278;2.6956543922424316;0-6;Single bit-flip
str_x;smith_waterman.c;285;1.6861293315887451;0-6;Single bit-flip
i;smith_waterman.c;83;0.9616208076477051;0-6;Single bit-flip
str_y;smith_waterman.c;286;1.193129062652588;0-6;Single bit-flip
i;smith_waterman.c;83;1.1157643795013428;0-6;Single bit-flip
str_y;smith_waterman.c;286;1.559694528579712;0-6;Single bit-flip
fo;smith_waterman.c;278;1.3954906463623047;0-6;Single bit-flip
j;smith_waterman.c;88;1.8463010787963867;0-6;Single bit-flip
str_x;smith_waterman.c;285;0.27677345275878906;0-6;Single bit-flip
matrix;smith_waterman.c;81;2.6106784343719482;0-6;Single bit-flip
fpy;smith_waterman.c;278;1.1439697742462158;0-6;Single bit-flip
str_x;smith_waterman.c;79;1.851247787475586;0-6;Single bit-flip
matrix;smith_waterman.c;81;0.6236717700958252;0-6;Single bit-flip
fo;smith_waterman.c;79;2.751417398452759;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.1602628231048584;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.3524463176727295;0-6;Single bit-flip
y_num;smith_waterman.c;79;2.3354103565216064;0-6;Single bit-flip
j;smith_waterman.c;88;1.6976523399353027;0-2;Single bit-flip
matrix;smith_waterman.c;81;2.5439412593841553;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.1716094017028809;0-6;Single bit-flip
fo;smith_waterman.c;278;2.199108362197876;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.8593873977661133;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.075875997543335;0-6;Single bit-flip
x_num;smith_waterman.c;79;0.35737085342407227;0-2;Single bit-flip
i;smith_waterman.c;83;1.7107152938842773;0-6;Single bit-flip
width;smith_waterman.c;117;2.8512673377990723;0-6;Single bit-flip
fo;smith_waterman.c;79;3.239997386932373;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.4959204196929932;0-6;Single bit-flip
str_y;smith_waterman.c;286;2.3667514324188232;0-6;Single bit-flip
_dl_skip_args;rtld.c;84;0.15333914756774902;0-6;Single bit-flip
fo;smith_waterman.c;79;1.6527307033538818;0-6;Single bit-flip
str_x;smith_waterman.c;285;1.7394599914550781;0-6;Single bit-flip
fo;smith_waterman.c;278;0.27616286277770996;0-6;Single bit-flip
fo;smith_waterman.c;79;1.3722891807556152;0-6;Single bit-flip
fo;smith_waterman.c;79;2.521372079849243;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.2914788722991943;0-2;Single bit-flip
j;smith_waterman.c;88;0.6400225162506104;0-6;Single bit-flip
x_num;smith_waterman.c;79;0.6909525394439697;0-6;Single bit-flip
j;smith_waterman.c;88;2.639312744140625;0-6;Single bit-flip
str_x;smith_waterman.c;79;2.1435792446136475;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.8677644729614258;0-6;Single bit-flip
fo;smith_waterman.c;79;1.6160175800323486;0-6;Single bit-flip
i;smith_waterman.c;83;2.5748541355133057;0-6;Single bit-flip
height;smith_waterman.c;116;2.435577392578125;0-6;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.928457498550415;0-6;Single bit-flip
str_y;smith_waterman.c;79;0.1762373447418213;0-6;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7941458225250244;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.1993675231933594;0-6;Single bit-flip
i;smith_waterman.c;83;0.7235426902770996;0-6;Single bit-flip
fo;smith_waterman.c;79;1.6362497806549072;0-6;Single bit-flip
matrix;smith_waterman.c;81;2.9510114192962646;0-6;Single bit-flip
str_x;smith_waterman.c;79;0.8991878032684326;0-6;Single bit-flip
fo;smith_waterman.c;79;2.399893283843994;0-6;Single bit-flip
i;smith_waterman.c;83;0.45828962326049805;0-6;Single bit-flip
matrix;smith_waterman.c;81;1.7076725959777832;0-6;Single bit-flip
y_num;smith_waterman.c;79;1.035435438156128;0-6;Single bit-flip
j;smith_waterman.c;88;0.7554488182067871;0-6;Single bit-flip
width;smith_waterman.c;117;2.9340062141418457;0-6;Single bit-flip
matrix;smith_waterman.c;81;2.3241653442382812;0-6;Single bit-flip
fo;smith_waterman.c;79;2.475172758102417;0-6;Single bit-flip
fo;smith_waterman.c;79;0.31571412086486816;0-6;Single bit-flip
fo;smith_waterman.c;278;0.897078275680542;0-6;Single bit-flip
fo;smith_waterman.c;278;2.0637125968933105;0-6;Single bit-flip
str_x;smith_waterman.c;285;2.0148446559906006;0-6;Single bit-flip
str_x;smith_waterman.c;285;1.7244670391082764;0-6;Single bit-flip
str_x;smith_waterman.c;285;2.900352716445923;0-6;Single bit-flip
str_x;smith_waterman.c;285;0.2860231399536133;0-6;Single bit-flip
str_y;smith_waterman.c;286;1.8195786476135254;0-6;Single bit-flip
fo;smith_waterman.c;79;2.7666778564453125;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.0965852737426758;0-6;Single bit-flip
y_num;smith_waterman.c;79;1.4279758930206299;0-6;Single bit-flip
fo;smith_waterman.c;278;1.2495508193969727;0-2;Single bit-flip
fo;smith_waterman.c;278;2.375267744064331;0-6;Single bit-flip
y_num;smith_waterman.c;79;0.8153567314147949;0-6;Single bit-flip
str_y;smith_waterman.c;286;0.6438455581665039;0-2;Single bit-flip
str_y;smith_waterman.c;286;0.7516703605651855;0-6;Single bit-flip
x_num;smith_waterman.c;79;2.520775318145752;0-6;Single bit-flip
y_num;smith_waterman.c;79;1.0840144157409668;0-6;Single bit-flip
str_y;smith_waterman.c;79;1.7077980041503906;0-6;Single bit-flip
y_num;smith_waterman.c;79;1.7381300926208496;0-6;Single bit-flip
_dl_skip_args;rtld.c;84;0.3120713233947754;0-6;Single bit-flip
matrix;smith_waterman.c;81;0.8159117698669434;0-6;Single bit-flip
y_num;smith_waterman.c;79;2.6234514713287354;0-6;Single bit-flip
fo;smith_waterman.c;278;1.4078021049499512;0-6;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5710442066192627;0-6;Single bit-flip
x_num;smith_waterman.c;79;2.615734577178955;0-6;Single bit-flip
str_x;smith_waterman.c;285;2.3977630138397217;0-6;Single bit-flip
i;smith_waterman.c;83;1.8147809505462646;0-6;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5212538242340088;0-6;Single bit-flip
str_x;smith_waterman.c;79;1.303215503692627;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.37680983543396;0-6;Single bit-flip
_dl_skip_args;rtld.c;84;0.8081357479095459;0-6;Single bit-flip
str_x;smith_waterman.c;285;0.9916961193084717;0-6;Single bit-flip
str_y;smith_waterman.c;286;3.3034493923187256;0-6;Single bit-flip
str_y;smith_waterman.c;286;0.941239595413208;0-6;Single bit-flip
x_num;smith_waterman.c;79;1.341193437576294;0-6;Single bit-flip
fo;smith_waterman.c;278;0.3957691192626953;0-6;Single bit-flip
_rtld_global;rtld.c;231;0.2798123359680176;0-6;Single bit-flip
fo;smith_waterman.c;79;2.7158238887786865;0-6;Single bit-flip
fo;smith_waterman.c;278;1.231447696685791;0-6;Single bit-flip
str_x;smith_waterman.c;79;2.6279208660125732;0-6;Single bit-flip
fo;smith_waterman.c;278;2.5699262619018555;0-6;Single bit-flip
str_x;smith_waterman.c;79;2.790497064590454;0-6;Single bit-flip
fo;smith_waterman.c;79;0.6269912719726562;0-6;Single bit-flip
str_x;smith_waterman.c;79;1.1639735698699951;0-2;Single bit-flip
str_y;smith_waterman.c;286;1.4233827590942383;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.00118088722229;0-2;Single bit-flip
fo;smith_waterman.c;278;1.7655129432678223;0-2;Single bit-flip
_rtld_global;rtld.c;231;1.020538091659546;0-2;Single bit-flip
str_x;smith_waterman.c;285;0.8708863258361816;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6485123634338379;0-2;Single bit-flip
j;smith_waterman.c;88;0.6979701519012451;0-2;Single bit-flip
matrix;smith_waterman.c;81;0.32790088653564453;0-2;Single bit-flip
i;smith_waterman.c;83;1.0427525043487549;0-2;Single bit-flip
matrix;smith_waterman.c;81;1.2479500770568848;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.392322301864624;0-2;Single bit-flip
str_y;smith_waterman.c;79;1.359907865524292;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;0.3836534023284912;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.8449320793151855;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1794064044952393;0-2;Single bit-flip
j;smith_waterman.c;88;1.3050076961517334;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.6265904903411865;0-2;Single bit-flip
str_x;smith_waterman.c;285;1.1703836917877197;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.5934228897094727;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2170023918151855;0-2;Single bit-flip
str_x;smith_waterman.c;285;1.0501859188079834;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.7760095596313477;0-2;Single bit-flip
str_x;smith_waterman.c;79;0.7788197994232178;0-2;Single bit-flip
i;smith_waterman.c;83;1.201744794845581;0-2;Single bit-flip
str_y;smith_waterman.c;286;0.660400390625;0-2;Single bit-flip
str_y;smith_waterman.c;286;1.6190781593322754;0-2;Single bit-flip
fpx;smith_waterman.c;278;1.4188241958618164;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.689436674118042;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7914769649505615;0-2;Single bit-flip
str_x;smith_waterman.c;285;0.8666822910308838;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.5828676223754883;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.1342029571533203;0-2;Single bit-flip
i;smith_waterman.c;83;1.277472972869873;0-2;Single bit-flip
y_num;smith_waterman.c;79;2.1289501190185547;0-2;Single bit-flip
