Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
j;smith_waterman.c;88;1.008190393447876;0-2;Single bit-flip
j;smith_waterman.c;88;0.699061393737793;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.9646217823028564;0-2;Single bit-flip
i;smith_waterman.c;83;2.2319440841674805;0-2;Single bit-flip
fpy;smith_waterman.c;278;0.7606804370880127;0-2;Single bit-flip
i;smith_waterman.c;83;1.0205051898956299;0-2;Single bit-flip
fo;smith_waterman.c;79;1.9076902866363525;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.7831029891967773;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.3962128162384033;0-6;Single bit-flip
j;smith_waterman.c;88;1.9555697441101074;0-6;Single bit-flip
fo;smith_waterman.c;79;1.9594721794128418;0-6;Single bit-flip
gap_score;smith_waterman.c;9;1.8747191429138184;0-6;Single bit-flip
max_score;smith_waterman.c;93;2.7990474700927734;0-6;Single bit-flip
fo;smith_waterman.c;79;0.937446117401123;0-6;Single bit-flip
max_score;smith_waterman.c;93;1.6310772895812988;0-6;Single bit-flip
max_score;smith_waterman.c;93;2.3754191398620605;0-6;Single bit-flip
fo;smith_waterman.c;79;2.843712329864502;0-6;Single bit-flip
fo;smith_waterman.c;79;2.3517754077911377;0-6;Single bit-flip
i;smith_waterman.c;83;3.2033040523529053;0-6;Single bit-flip
match_score;smith_waterman.c;7;0.734588623046875;0-6;Single bit-flip
fpy;smith_waterman.c;278;1.351701021194458;0-6;Single bit-flip
max_score;smith_waterman.c;93;2.3304965496063232;0-6;Single bit-flip
str_x;smith_waterman.c;79;0.4560892581939697;0-6;Single bit-flip
fo;smith_waterman.c;79;1.5123965740203857;0-6;Single bit-flip
max_score;smith_waterman.c;93;0.5491735935211182;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.594857931137085;0-2;Single bit-flip
max_score;smith_waterman.c;93;1.3116042613983154;0-2;Single bit-flip
i;smith_waterman.c;83;0.8141250610351562;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.9390456676483154;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.6337356567382812;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.6310889720916748;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.39334535598754883;0-2;Single bit-flip
i;smith_waterman.c;83;1.4352588653564453;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.8677043914794922;0-2;Single bit-flip
j;smith_waterman.c;88;1.759631633758545;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.856175422668457;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.0921046733856201;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.7257778644561768;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.4249064922332764;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.8102860450744629;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.6726975440979004;0-2;Single bit-flip
i;smith_waterman.c;83;0.8274524211883545;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.5760989189147949;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.39615535736083984;0-2;Single bit-flip
str_x;smith_waterman.c;79;1.0864768028259277;0-2;Single bit-flip
max_score;smith_waterman.c;93;1.5555963516235352;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.470660924911499;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.7859883308410645;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.8472557067871094;0-2;Single bit-flip
i;smith_waterman.c;83;1.4960229396820068;0-2;Single bit-flip
i;smith_waterman.c;83;0.9401178359985352;0-2;Single bit-flip
i;smith_waterman.c;83;0.7685317993164062;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.940673828125;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.4162893295288086;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.3137044906616211;0-6;Single bit-flip
i;smith_waterman.c;83;2.7237496376037598;0-6;Single bit-flip
height;smith_waterman.c;116;2.7198410034179688;0-6;Single bit-flip
max_score;smith_waterman.c;93;1.1959326267242432;0-6;Single bit-flip
y_num;smith_waterman.c;79;2.8642237186431885;0-6;Single bit-flip
match_score;smith_waterman.c;7;0.6468296051025391;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.6956801414489746;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.48053860664367676;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.043355941772461;0-2;Single bit-flip
i;smith_waterman.c;83;1.688558578491211;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.6368532180786133;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.409804105758667;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.8352162837982178;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.8393232822418213;0-2;Single bit-flip
gap_score;smith_waterman.c;9;1.2601401805877686;0-2;Single bit-flip
max_score;smith_waterman.c;93;0.8845884799957275;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.0650322437286377;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.9862830638885498;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.3022348880767822;0-2;Single bit-flip
gap_score;smith_waterman.c;9;1.2157762050628662;0-2;Single bit-flip
i;smith_waterman.c;83;1.2115261554718018;0-2;Single bit-flip
str_y;smith_waterman.c;79;1.2688167095184326;0-2;Single bit-flip
max_score;smith_waterman.c;93;1.0259296894073486;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.8577871322631836;0-2;Single bit-flip
fo;smith_waterman.c;79;1.539595365524292;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.6691508293151855;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.8444814682006836;0-2;Single bit-flip
max_score;smith_waterman.c;93;1.6091740131378174;0-2;Single bit-flip
fo;smith_waterman.c;79;2.189497947692871;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.2282044887542725;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.0900702476501465;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.41753411293029785;0-2;Single bit-flip
fpy;smith_waterman.c;278;1.7738819122314453;0-2;Single bit-flip
str_x;smith_waterman.c;79;1.0952258110046387;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.2184267044067383;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.506122350692749;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.4525055885314941;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5429253578186035;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.3217511177062988;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.7223267555236816;0-2;Single bit-flip
fo;smith_waterman.c;278;0.4441871643066406;0-2;Single bit-flip
max_score;smith_waterman.c;93;0.4750359058380127;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.6267664432525635;0-2;Single bit-flip
fo;smith_waterman.c;79;1.3492541313171387;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.7363355159759521;0-2;Single bit-flip
fo;smith_waterman.c;79;1.0849189758300781;0-2;Single bit-flip
fo;smith_waterman.c;79;1.4055941104888916;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.2002506256103516;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.6248335838317871;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.1750214099884033;0-2;Single bit-flip
str_y;smith_waterman.c;79;1.2858381271362305;0-2;Single bit-flip
fo;smith_waterman.c;79;1.2539393901824951;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.8047924041748047;0-2;Single bit-flip
fo;smith_waterman.c;79;1.448115348815918;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.5021696090698242;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.7575421333312988;0-2;Single bit-flip
str_x;smith_waterman.c;79;0.7100584506988525;0-2;Single bit-flip
i;smith_waterman.c;83;2.6723875999450684;0-2;Single bit-flip
fo;smith_waterman.c;79;0.9340722560882568;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.9699618816375732;0-2;Single bit-flip
x_num;smith_waterman.c;79;1.1194124221801758;0-2;Single bit-flip
fpy;smith_waterman.c;278;2.480243444442749;0-2;Single bit-flip
gap_score;smith_waterman.c;9;1.10508131980896;0-2;Single bit-flip
j;smith_waterman.c;88;1.1607263088226318;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.6471278667449951;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.0296647548675537;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.27753353118896484;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.8484773635864258;0-2;Single bit-flip
fo;smith_waterman.c;79;1.8875799179077148;0-2;Single bit-flip
str_x;smith_waterman.c;79;0.9474751949310303;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.1329748630523682;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.589195728302002;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.051218032836914;0-2;Single bit-flip
max_score;smith_waterman.c;93;2.0312306880950928;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.7160356044769287;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.2666194438934326;0-2;Single bit-flip
y_num;smith_waterman.c;79;2.0756471157073975;0-2;Single bit-flip
fo;smith_waterman.c;278;1.2241647243499756;0-2;Single bit-flip
max_score;smith_waterman.c;93;0.530738115310669;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.7773847579956055;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.7195804119110107;0-2;Single bit-flip
y_num;smith_waterman.c;79;1.5415091514587402;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.30928707122802734;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.3621375560760498;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.47300195693969727;0-2;Single bit-flip
j;smith_waterman.c;88;1.7883522510528564;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.2459874153137207;0-2;Single bit-flip
max_score;smith_waterman.c;93;1.1740295886993408;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.6480147838592529;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.3846547603607178;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.959244966506958;0-2;Single bit-flip
max_score;smith_waterman.c;93;0.8125815391540527;0-2;Single bit-flip
match_score;smith_waterman.c;7;1.3982484340667725;0-2;Single bit-flip
gap_score;smith_waterman.c;9;1.6596577167510986;0-2;Single bit-flip
gap_score;smith_waterman.c;9;2.2710049152374268;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.4347052574157715;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.5108509063720703;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.4326598644256592;0-2;Single bit-flip
fo;smith_waterman.c;278;1.1796989440917969;0-2;Single bit-flip
gap_score;smith_waterman.c;9;1.0517244338989258;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.384066104888916;0-2;Single bit-flip
gap_score;smith_waterman.c;9;0.8875179290771484;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;0.38786864280700684;0-2;Single bit-flip
max_score;smith_waterman.c;93;1.2127094268798828;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.32993102073669434;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.9788715839385986;0-2;Single bit-flip
x_num;smith_waterman.c;79;0.8246264457702637;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.0082402229309082;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.6390862464904785;0-2;Single bit-flip
i;smith_waterman.c;83;1.0423316955566406;0-2;Single bit-flip
str_y;smith_waterman.c;79;1.4247934818267822;0-2;Single bit-flip
max_score;smith_waterman.c;93;2.5479471683502197;0-2;Single bit-flip
y_num;smith_waterman.c;79;0.6450107097625732;0-2;Single bit-flip
str_x;smith_waterman.c;79;0.5904850959777832;0-2;Single bit-flip
mismatch_score;smith_waterman.c;8;1.554286241531372;0-2;Single bit-flip
match_score;smith_waterman.c;7;0.6790831089019775;0-2;Single bit-flip
