Faults Injected:;50104

Fault Effect;#Effect;PVF
Masked;36838;0.7352307201021875
SDCs;1168;0.023311512054925754
Crashes;6807;0.13585741657352707
Hangs;5291;0.10560035126935974

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Random bit-flip;641;54.880136986301366
Single bit-flip;274;23.458904109589042
Double bit-flip;253;21.660958904109588

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Random bit-flip;2476;36.37432055237256
Single bit-flip;2169;31.864257382106654
Double bit-flip;2162;31.76142206552079

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Single bit-flip;1926;36.4014364014364
Double bit-flip;1873;35.3997353997354
Random bit-flip;1492;28.198828198828195

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
15.034965034965033;2002;301;gap_score;smith_waterman.c;9
12.238805970149254;2010;246;match_score;smith_waterman.c;7
11.425682507583417;1978;226;mismatch_score;smith_waterman.c;8
15.732087227414329;642;101;max_score;smith_waterman.c;93
7.320872274143301;642;47;i;smith_waterman.c;83
6.980273141122914;659;46;y_num;smith_waterman.c;79
7.475083056478406;602;45;fo;smith_waterman.c;79
4.434250764525994;654;29;x_num;smith_waterman.c;79
2.9714285714285715;875;26;fpy;smith_waterman.c;278
3.58814352574103;641;23;_dl_skip_args;rtld.c;84
6.748466257668712;326;22;str_x;smith_waterman.c;79
2.3622047244094486;889;21;fo;smith_waterman.c;278
2.682563338301043;671;18;j;smith_waterman.c;88
4.778156996587031;293;14;str_y;smith_waterman.c;79
0.13986013986013987;715;1;height;smith_waterman.c;116
0.1201923076923077;832;1;user_entry;../elf/dl-sysdep.c;91
0.15060240963855423;664;1;width;smith_waterman.c;117

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
98.19711538461539;832;817;user_entry;../elf/dl-sysdep.c;91
90.97859327217125;654;595;x_num;smith_waterman.c;79
63.77952755905512;889;567;fo;smith_waterman.c;278
84.67374810318664;659;558;y_num;smith_waterman.c;79
86.73946957878314;641;556;_dl_skip_args;rtld.c;84
84.11214953271028;642;540;i;smith_waterman.c;83
100.0;515;515;str_y;smith_waterman.c;286
99.7946611909651;487;486;str_x;smith_waterman.c;285
74.84375;640;479;matrix;smith_waterman.c;81
62.74217585692996;671;421;j;smith_waterman.c;88
56.810631229235874;602;342;fo;smith_waterman.c;79
84.3558282208589;326;275;str_x;smith_waterman.c;79
86.68941979522185;293;254;str_y;smith_waterman.c;79
21.690590111642745;627;136;__GI__dl_argv;rtld.c;83
12.460063897763577;626;78;_rtld_global;rtld.c;231
8.0;875;70;fpy;smith_waterman.c;278
9.75232198142415;646;63;_rtld_global_ro;rtld.c;259
1.9165727170236753;887;17;fpx;smith_waterman.c;278
0.5472636815920399;2010;11;match_score;smith_waterman.c;7
0.8391608391608392;715;6;height;smith_waterman.c;116
0.6024096385542169;664;4;width;smith_waterman.c;117
40.0;5;2;ranges;dl-reloc.c;258
100.0;2;2;nlist;dl-deps.c;161
0.20304568527918782;985;2;x_num;smith_waterman.c;281
66.66666666666666;3;2;x_num;smith_waterman.c;11
0.14792899408284024;676;1;audit_list;rtld.c;142
100.0;1;1;fpy;smith_waterman.c;11
0.1443001443001443;693;1;x;smith_waterman.c;115
0.1508295625942685;663;1;y;smith_waterman.c;115
50.0;2;1;_IO_strn_jumps;vsnprintf.c;67
100.0;1;1;f;vfprintf.c;1255
100.0;1;1;str_x;smith_waterman.c;32
100.0;1;1;runp;dl-deps.c;160
0.10111223458038424;989;1;output_file_name;smith_waterman.c;249

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
86.86567164179104;2010;1746;match_score;smith_waterman.c;7
87.51263902932254;1978;1731;mismatch_score;smith_waterman.c;8
82.56743256743256;2002;1653;gap_score;smith_waterman.c;9
8.588957055214724;326;28;str_x;smith_waterman.c;79
8.16326530612245;343;28;d;smith_waterman.c;62
8.532423208191126;293;25;str_y;smith_waterman.c;79
6.811989100817439;367;25;ans;smith_waterman.c;64
4.945054945054945;364;18;c;smith_waterman.c;62
2.786377708978328;646;18;diff;smith_waterman.c;92
1.2139605462822458;659;8;y_num;smith_waterman.c;79
0.8522727272727272;352;3;b;smith_waterman.c;62
0.46875;640;3;matrix;smith_waterman.c;81
0.22497187851518563;889;2;fo;smith_waterman.c;278
0.10152284263959391;985;1;x_num;smith_waterman.c;281
0.15060240963855423;664;1;width;smith_waterman.c;117
0.1557632398753894;642;1;i;smith_waterman.c;83
