Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_skip_args;rtld.c;84;0.5971486568450928;0-6;Double bit-flip
y_num;smith_waterman.c;156;1.576124906539917;0-6;Double bit-flip
j;smith_waterman.c;177;1.659346103668213;0-6;Double bit-flip
y_num;smith_waterman.c;156;3.7296478748321533;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;1.2438633441925049;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0397956371307373;0-6;Double bit-flip
alignmentB;smith_waterman.c;253;1.1864244937896729;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;2.2010657787323;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.4300720691680908;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6397366523742676;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.9815621376037598;0-6;Double bit-flip
str_y;smith_waterman.c;374;1.3812875747680664;0-6;Double bit-flip
answer;smith_waterman.c;355;2.4638490676879883;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.3497190475463867;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.8011186122894287;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.659245491027832;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.429882526397705;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.5958964824676514;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;1.605546474456787;0-6;Double bit-flip
__GI__dl_argv;rtld.c;83;1.048039436340332;0-6;Double bit-flip
matrix;smith_waterman.c;166;2.5279688835144043;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.995297908782959;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.1194941997528076;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.5271601676940918;0-6;Double bit-flip
i;smith_waterman.c;168;3.317523717880249;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;0.7433724403381348;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.3923647403717041;0-6;Double bit-flip
str_y;smith_waterman.c;374;4.3593971729278564;0-6;Double bit-flip
i;smith_waterman.c;168;1.9001526832580566;0-6;Double bit-flip
str_y;smith_waterman.c;374;0.9501092433929443;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.5397295951843262;0-6;Double bit-flip
str_x;smith_waterman.c;373;2.212430953979492;0-6;Double bit-flip
matrix;smith_waterman.c;166;3.0663061141967773;0-6;Double bit-flip
y_num;smith_waterman.c;156;4.576403617858887;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.0146441459655762;0-6;Double bit-flip
alignmentB;smith_waterman.c;253;2.2972049713134766;0-6;Double bit-flip
str_x;smith_waterman.c;156;2.510584831237793;0-6;Double bit-flip
str_x;smith_waterman.c;373;3.930246114730835;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1810410022735596;0-6;Double bit-flip
str_y;smith_waterman.c;374;1.1792311668395996;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.6571633815765381;0-6;Double bit-flip
i;smith_waterman.c;168;2.8320884704589844;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7746658325195312;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.2810335159301758;0-6;Double bit-flip
y_num;smith_waterman.c;156;2.5567076206207275;0-6;Double bit-flip
str_x;smith_waterman.c;156;1.483292818069458;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5970845222473145;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.667872428894043;0-6;Double bit-flip
answer;smith_waterman.c;355;0.8767223358154297;0-6;Double bit-flip
str_y;smith_waterman.c;374;1.6602931022644043;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.4960474967956543;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.157745122909546;0-6;Double bit-flip
str_x;smith_waterman.c;156;1.5142862796783447;0-6;Double bit-flip
j;smith_waterman.c;177;1.4813406467437744;0-6;Double bit-flip
str_y;smith_waterman.c;374;2.628325939178467;0-6;Double bit-flip
str_x;smith_waterman.c;373;2.594069480895996;0-6;Double bit-flip
x_num;smith_waterman.c;156;1.363893985748291;0-6;Double bit-flip
i;smith_waterman.c;168;1.4408886432647705;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;1.2302281856536865;0-6;Double bit-flip
str_x;smith_waterman.c;156;1.9978983402252197;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.3873493671417236;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.39783143997192383;0-6;Double bit-flip
y_num;smith_waterman.c;156;3.728041887283325;0-6;Double bit-flip
j;smith_waterman.c;177;1.0045733451843262;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.665492057800293;0-6;Double bit-flip
i;smith_waterman.c;168;1.812382459640503;0-6;Double bit-flip
matrix;smith_waterman.c;166;2.674339532852173;0-6;Double bit-flip
_rtld_global;rtld.c;231;0.5508956909179688;0-6;Double bit-flip
answer;smith_waterman.c;355;2.9778902530670166;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.231184959411621;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.5863497257232666;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.46935057640075684;0-6;Double bit-flip
i;smith_waterman.c;168;0.6912529468536377;0-6;Double bit-flip
str_x;smith_waterman.c;373;2.246276378631592;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8597469329833984;0-6;Double bit-flip
str_x;smith_waterman.c;373;4.898472785949707;0-6;Double bit-flip
str_x;smith_waterman.c;373;2.6515443325042725;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.6828451156616211;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3593628406524658;0-6;Double bit-flip
str_x;smith_waterman.c;156;0.952810525894165;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.869767427444458;0-6;Double bit-flip
y_num;smith_waterman.c;156;2.2035024166107178;0-6;Double bit-flip
y_num;smith_waterman.c;156;2.682220220565796;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8767426013946533;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.34641122817993164;0-6;Double bit-flip
x_num;smith_waterman.c;156;5.304149866104126;0-6;Double bit-flip
y_num;smith_waterman.c;156;1.581634521484375;0-6;Double bit-flip
str_y;smith_waterman.c;374;2.3665311336517334;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;1.4197998046875;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;2.3145806789398193;0-6;Double bit-flip
i;smith_waterman.c;168;2.0149760246276855;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.6263437271118164;0-6;Double bit-flip
__GI__dl_argv;rtld.c;83;0.5226061344146729;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;0.46462535858154297;0-6;Double bit-flip
j;smith_waterman.c;177;4.288382053375244;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;1.826305866241455;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7712762355804443;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5723347663879395;0-6;Double bit-flip
j;smith_waterman.c;177;4.9571146965026855;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.318026065826416;0-6;Double bit-flip
str_y;smith_waterman.c;374;1.6158058643341064;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.1748065948486328;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.2915844917297363;0-6;Double bit-flip
i;smith_waterman.c;168;1.230698823928833;0-6;Double bit-flip
str_x;smith_waterman.c;373;2.581404685974121;0-6;Double bit-flip
i;smith_waterman.c;168;1.9568681716918945;0-6;Double bit-flip
str_x;smith_waterman.c;373;4.42202353477478;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.0431199073791504;0-6;Double bit-flip
str_x;smith_waterman.c;373;2.225011110305786;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.1445379257202148;0-6;Double bit-flip
x_num;smith_waterman.c;156;2.0749523639678955;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;1.039597749710083;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.8972616195678711;0-6;Double bit-flip
str_x;smith_waterman.c;373;3.644240617752075;0-6;Double bit-flip
y_num;smith_waterman.c;156;0.7784860134124756;0-6;Double bit-flip
y_num;smith_waterman.c;156;2.5701849460601807;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;1.211421251296997;0-6;Double bit-flip
y_num;smith_waterman.c;156;1.0902690887451172;0-6;Double bit-flip
alignmentB;smith_waterman.c;253;0.9529709815979004;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.2148597240447998;0-6;Double bit-flip
matrix;smith_waterman.c;166;2.780754327774048;0-6;Double bit-flip
str_y;smith_waterman.c;156;2.0830960273742676;0-6;Double bit-flip
x_num;smith_waterman.c;156;3.1614177227020264;0-6;Double bit-flip
str_y;smith_waterman.c;374;3.2453768253326416;0-6;Double bit-flip
str_y;smith_waterman.c;156;3.700516939163208;0-6;Double bit-flip
alignmentB;smith_waterman.c;253;0.6166336536407471;0-6;Double bit-flip
str_x;smith_waterman.c;156;1.51369047164917;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.440638780593872;0-6;Double bit-flip
answer;smith_waterman.c;355;0.4113740921020508;0-6;Double bit-flip
alignmentAcopy;smith_waterman.c;253;2.5540075302124023;0-6;Double bit-flip
str_x;smith_waterman.c;373;1.0611250400543213;0-6;Double bit-flip
y_num;smith_waterman.c;156;1.313546895980835;0-6;Double bit-flip
y_num;smith_waterman.c;156;4.051084995269775;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.3927783966064453;0-6;Double bit-flip
str_x;smith_waterman.c;373;3.0795235633850098;0-6;Double bit-flip
answer;smith_waterman.c;355;5.096245288848877;0-6;Double bit-flip
i;smith_waterman.c;168;0.46668124198913574;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3842747211456299;0-6;Double bit-flip
alignmentB;smith_waterman.c;253;2.742396593093872;0-6;Double bit-flip
matrix;smith_waterman.c;166;3.5871448516845703;0-6;Double bit-flip
y_num;smith_waterman.c;156;1.8300325870513916;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5897257328033447;0-6;Double bit-flip
matrix;smith_waterman.c;166;1.108802318572998;0-6;Double bit-flip
str_y;smith_waterman.c;156;1.7104299068450928;0-6;Double bit-flip
str_y;smith_waterman.c;156;1.1567950248718262;0-6;Double bit-flip
