Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
str_x;smith_waterman.c;156;1.049283742904663;0-6;Double bit-flip
str_x;smith_waterman.c;156;2.2399895191192627;0-6;Double bit-flip
d;smith_waterman.c;133;5.410715818405151;0-6;Double bit-flip
c;smith_waterman.c;133;4.2451112270355225;0-6;Double bit-flip
str_y;smith_waterman.c;156;3.5785915851593018;0-6;Double bit-flip
y_num;smith_waterman.c;156;4.311463117599487;0-6;Double bit-flip
width;smith_waterman.c;228;5.026731967926025;0-6;Double bit-flip
str_y;smith_waterman.c;156;1.603698968887329;0-6;Double bit-flip
str_y;smith_waterman.c;156;1.9600236415863037;0-6;Double bit-flip
d;smith_waterman.c;133;2.2260313034057617;0-6;Double bit-flip
str_x;smith_waterman.c;156;3.6867353916168213;0-6;Double bit-flip
str_x;smith_waterman.c;156;1.766737937927246;0-6;Double bit-flip
str_x;smith_waterman.c;156;2.1836183071136475;0-6;Double bit-flip
y_num;smith_waterman.c;156;1.355344533920288;0-6;Single bit-flip
y_num;smith_waterman.c;156;0.8420403003692627;0-6;Single bit-flip
str_y;smith_waterman.c;156;1.3512027263641357;0-6;Single bit-flip
str_x;smith_waterman.c;156;3.478572130203247;0-6;Single bit-flip
str_x;smith_waterman.c;156;1.800729751586914;0-6;Single bit-flip
ans;smith_waterman.c;135;2.775407552719116;0-6;Single bit-flip
str_y;smith_waterman.c;156;1.0442447662353516;0-6;Single bit-flip
y_num;smith_waterman.c;156;3.9305760860443115;0-6;Single bit-flip
str_x;smith_waterman.c;156;2.4380123615264893;0-6;Single bit-flip
str_x;smith_waterman.c;156;1.736074686050415;0-6;Single bit-flip
str_y;smith_waterman.c;156;2.6291844844818115;0-6;Single bit-flip
str_y;smith_waterman.c;156;3.981367349624634;0-6;Single bit-flip
str_x;smith_waterman.c;156;4.867500066757202;0-6;Single bit-flip
str_x;smith_waterman.c;156;4.258591890335083;0-6;Single bit-flip
str_y;smith_waterman.c;156;1.0228383541107178;0-6;Single bit-flip
str_x;smith_waterman.c;156;3.259080410003662;0-6;Single bit-flip
str_x;smith_waterman.c;156;3.986342668533325;0-6;Single bit-flip
str_x;smith_waterman.c;156;1.379209041595459;0-6;Single bit-flip
ans;smith_waterman.c;135;1.9069201946258545;0-6;Random bit-flip
d;smith_waterman.c;133;1.461116075515747;0-6;Random bit-flip
ans;smith_waterman.c;135;2.069361448287964;0-6;Random bit-flip
d;smith_waterman.c;133;1.6942462921142578;0-6;Random bit-flip
b;smith_waterman.c;133;1.4343574047088623;0-6;Random bit-flip
diff;smith_waterman.c;194;1.1690576076507568;0-6;Random bit-flip
b;smith_waterman.c;133;0.8833329677581787;0-6;Random bit-flip
diff;smith_waterman.c;194;2.9909534454345703;0-6;Random bit-flip
c;smith_waterman.c;133;1.196103572845459;0-6;Random bit-flip
diff;smith_waterman.c;194;2.5514519214630127;0-6;Random bit-flip
c;smith_waterman.c;133;2.4873697757720947;0-6;Random bit-flip
ans;smith_waterman.c;135;3.489838123321533;0-6;Random bit-flip
ans;smith_waterman.c;135;2.3613622188568115;0-6;Random bit-flip
d;smith_waterman.c;133;0.8159399032592773;0-6;Random bit-flip
c;smith_waterman.c;133;3.275986433029175;0-6;Random bit-flip
ans;smith_waterman.c;135;3.2391817569732666;0-6;Random bit-flip
d;smith_waterman.c;133;3.6164143085479736;0-6;Random bit-flip
