Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
gap_score;smith_waterman.c;11;1.5660061836242676;0-6;Double bit-flip;1
i2;smith_waterman.c;168;1.4953904151916504;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.8229870796203613;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.1966772079467773;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.949402332305908;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.1132771968841553;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.4455323219299316;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;3.534834384918213;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.9080593585968018;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.6184115409851074;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.9254050254821777;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.8515799045562744;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.7441513538360596;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.8396549224853516;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;4.175050497055054;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.6829471588134766;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.2467460632324219;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.1610431671142578;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.667644739151001;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;0.7751331329345703;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.8943402767181396;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.5315361022949219;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.4247641563415527;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.7076196670532227;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.1025044918060303;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.398813009262085;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.1028952598571777;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.915421724319458;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.3134045600891113;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.5403332710266113;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.170814275741577;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;3.3190853595733643;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.826080083847046;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.3297712802886963;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.1666324138641357;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.293407678604126;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.764165163040161;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.406576156616211;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.199514389038086;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;3.7955715656280518;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.3620288372039795;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.248770236968994;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.485090970993042;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.662041664123535;0-6;Double bit-flip;1
i2;smith_waterman.c;168;2.5490970611572266;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.403109073638916;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.6160500049591064;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.7122879028320312;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.623347282409668;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;5.624541759490967;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.3804705142974854;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;4.034042835235596;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.3305895328521729;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.4874157905578613;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.5016400814056396;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.52351450920105;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;0.9168045520782471;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.231257677078247;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.8753921985626221;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.2169568538665771;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.597305059432983;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.1057448387145996;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.7120399475097656;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;0.7333357334136963;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;3.133892297744751;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.239698648452759;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.139585018157959;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;4.261835813522339;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;4.447088241577148;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.997917652130127;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.028388261795044;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.041963815689087;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;0.49136781692504883;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;4.7350382804870605;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.9781181812286377;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.7780678272247314;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.3204944133758545;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.4112906455993652;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.9813971519470215;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.9140102863311768;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.6642186641693115;0-6;Double bit-flip;1
